key,impact_chosen,title,relevance
AZ-HB2003-Y2019,Safety,"Firearms; prohibited possessors; due process. ","'Firearm' => 'Safety', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2005-Y2019,Safety,"Schools; dating instruction; prohibition. ","'Abuse' => 'Safety', 'School' => 'Education', 'Arizona' => 'Location', 'Legislature' => 'None', 'Prohibition' => 'None'"
AZ-HB2049-Y2020,Healthcare,"Medical conditions; medical marijuana. ","'Physician' => 'Healthcare', 'Arizona' => 'Location', 'Constitution' => 'None', 'Legislature' => 'None', 'Payment' => 'None'"
AZ-HB2050-Y2019,Healthcare,"Schools; immunizations; parental control. ","'Health' => 'Healthcare', 'Registered nurse' => 'Healthcare', 'Security' => 'Safety', 'Home' => 'Safety', 'Parent' => 'Safety'"
AZ-HB2051-Y2020,Healthcare,"Informed consent; pelvic examinations. ","'Informed consent' => 'Healthcare', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2068-Y2019,Healthcare,"Health care providers; religious beliefs. ","'Health care provider' => 'Healthcare', 'Health care' => 'Healthcare', 'Health' => 'Healthcare', 'Hospital' => 'Healthcare', 'Patient' => 'Healthcare'"
AZ-HB2079-Y2020,Safety,"Abuse of teacher; penalty. ","'Abuse' => 'Safety', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2088-Y2020,Environment,"State lake improvement fund; appropriation. ","'Water' => 'Environment', 'Arizona' => 'Location', 'Appropriation' => 'None', 'Interest' => 'None', 'Legislature' => 'None'"
AZ-HB2089-Y2020,Safety,"Schools; safety; threat assessment teams. ","'Law enforcement' => 'Safety', 'School' => 'Education', 'Arizona' => 'Location', 'Law' => 'None', 'Legislature' => 'None'"
AZ-HB2090-Y2020,Environment,"Wind energy; siting. ","'Wind turbine' => 'Environment', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2122-Y2020,Environment,"Water resources; technical correction. ","'Water resources' => 'Environment', 'Water' => 'Environment', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2155-Y2020,Transportation,"Motor vehicle insurance; nonrenewal. ","'Motor vehicle' => 'Transportation', 'Arizona' => 'Location', 'Legislature' => 'None', 'Property' => 'None', 'Section' => 'None'"
AZ-HB2158-Y2020,Environment,"Water; well metering; nonexempt wells. ","'Water' => 'Environment', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2198-Y2020,Transportation,"Appropriation; Ganado School Loop Road. ","'Road' => 'Transportation', 'School' => 'Education', 'Arizona' => 'Location', 'Appropriation' => 'None', 'County' => 'None'"
AZ-HB2285-Y2020,Transportation,"Motorcycle operation; passing vehicles. ","'Driving' => 'Transportation', 'Arizona' => 'Location', 'Legislature' => 'None', 'State' => 'None'"
AZ-HB2335-Y2020,Jobs,"Employment; conditions; labor organizations; discrimination. ","'Employment' => 'Jobs', 'Injury' => 'Safety', 'Arizona' => 'Location', 'United States' => 'Location', 'Discrimination' => 'Racial'"
AZ-HB2336-Y2020,Jobs,"Overtime pay. ","'Overtime' => 'Jobs', 'Arizona' => 'Location', 'Legislature' => 'None', 'State' => 'None'"
AZ-HB2409-Y2020,Jobs,"Small business investment credit; extension. ","'Small business' => 'Jobs', 'Arizona' => 'Location', 'Credit' => 'None', 'Individual' => 'None', 'Legislature' => 'None'"
AZ-HB2466-Y2020,Jobs,"Wage rates; technical correction. ","'Wage' => 'Jobs', 'Arizona' => 'Location', 'Legislature' => 'None', 'State' => 'None'"
AZ-HB2590-Y2020,Transportation,"Driving on right; educational information. ","'Driving' => 'Transportation', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2001-Y2019,Environment,"Online home sharing; repeal. ","'Groundwater' => 'Environment', 'Natural gas' => 'Environment', 'Renewable energy' => 'Environment', 'Coal' => 'Environment', 'Drug' => 'Healthcare'"
AZ-HB2002-Y2020,None,"Student apprenticeship program; tax credits. ","'Student' => 'Education', 'Arizona' => 'Location', 'United States' => 'Location', 'Appropriation' => 'None', 'Credit' => 'None'"
AZ-HB2004-Y2019,None,"Schools; capacity to sue; approval. ","'School' => 'Education', 'Arizona' => 'Location', 'Legislature' => 'None', 'Pet' => 'None', 'Section' => 'None'"
AZ-HB2006-Y2019,Transportation,"Schools; expense orders; designee signature. ","'Bus' => 'Transportation', 'School' => 'Education', 'Arizona' => 'Location', 'Business' => 'None', 'Legislature' => 'None'"
AZ-HB2007-Y2019,Safety,"Schools; tuition; nonresidents. ","'Child' => 'Safety', 'School' => 'Education', 'Arizona' => 'Location', 'United States' => 'Location', 'Legislature' => 'None'"
AZ-HB2008-Y2019,None,"Charter schools; closures; notice. ","'Charter school' => 'Education', 'Arizona' => 'Location', 'Charter' => 'None', 'Legislature' => 'None', 'Pet' => 'None'"
AZ-HB2009-Y2019,Jobs,"Tax credit; teachers; school supplies. ","'Income tax' => 'Jobs', 'Income' => 'Jobs', 'School' => 'Education', 'Arizona' => 'Location', 'United States' => 'Location'"
AZ-HB2010-Y2019,None,"Personal finance course; requirement; appropriation. ","'Community college' => 'Education', 'Graduation' => 'Education', 'High school' => 'Education', 'University' => 'Education', 'Arizona' => 'Location'"
AZ-HB2011-Y2019,Jobs,"Schools; bank accounts; vendor payments. ","'Bank' => 'Jobs', 'School' => 'Education', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2012-Y2019,Safety,"Data governance commission; membership; extension. ","'Privacy' => 'Safety', 'Arizona' => 'Location', 'Data' => 'None', 'Legislature' => 'None', 'Pet' => 'None'"
AZ-HB2013-Y2020,Safety,"Schools; student promotions. ","'Parent' => 'Safety', 'Community college' => 'Education', 'High school' => 'Education', 'School district' => 'Education', 'School districts' => 'Education'"
AZ-HB2014-Y2019,Safety,"Schools; removed pupils; readmission; teachers. ","'Firearm' => 'Safety', 'School' => 'Education', 'Arizona' => 'Location', 'United States' => 'Location', 'Legislature' => 'None'"
AZ-HB2015-Y2019,None,"Schools; supplemental materials; approval. ","'High school' => 'Education', 'School' => 'Education', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2016-Y2019,Jobs,"Teacher immunity; student discipline. ","'Teacher' => 'Jobs', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2017-Y2019,None,"Schools; pledge; quiet reflection. ","'School district' => 'Education', 'School districts' => 'Education', 'School' => 'Education', 'Arizona' => 'Location', 'United States' => 'Location'"
AZ-HB2018-Y2019,None,"School districts; procurement; charter schools. ","'School district' => 'Education', 'School districts' => 'Education', 'School' => 'Education', 'Arizona' => 'Location', 'Legislature' => 'None'"
AZ-HB2019-Y2020,Jobs,"CTEDs; nonprofits; postsecondary institutions; agreements. ","'Profession' => 'Jobs', 'Arizona' => 'Location', 'United States' => 'Location', 'Lease' => 'None', 'Legislature' => 'None'"
AZ-HB2020-Y2019,None,"ABOR; tuition; actual cost; deduction. ","'Mexico' => 'Location', 'Arizona' => 'Location', 'United States' => 'Location', 'Address' => 'None', 'Award' => 'None'"
AZ-HB2021-Y2019,Jobs,"Schools; truant children; civil penalty. ","'Employment' => 'Jobs', 'School' => 'Education', 'Student' => 'Education', 'Arizona' => 'Location', 'Legislature' => 'None'"
AZ-HB2022-Y2019,None,"Schools; environmental education instruction. ","'School' => 'Education', 'Arizona' => 'Location', 'Legislature' => 'None', 'Pet' => 'None', 'Section' => 'None'"
AZ-HB2023-Y2019,Jobs,"Schools; budget format. ","'Library' => 'Jobs', 'School district' => 'Education', 'School' => 'Education', 'Textbook' => 'Education', 'Arizona' => 'Location'"
AZ-HB2024-Y2019,Jobs,"Schools; employee travel; trainings; policies. ","'Advertising' => 'Jobs', 'School' => 'Education', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2025-Y2019,None,"Schools; employee compensation information; harassment. ","'School district' => 'Education', 'School districts' => 'Education', 'School' => 'Education', 'Arizona' => 'Location', 'United States' => 'Location'"
AZ-HB2026-Y2019,None,"Schools; governing boards; membership; family. ","'Charter school' => 'Education', 'School' => 'Education', 'Arizona' => 'Location', 'Charter' => 'None', 'Conflict of interest' => 'None'"
AZ-HB2027-Y2019,Safety,"Homeowners- associations; evaporative coolers. ","'Home' => 'Safety', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2028-Y2020,None,"Candidate signs; prohibition; primary. ","'Arizona' => 'Location', 'United States' => 'Location', 'Candidate' => 'None', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2029-Y2019,None,"STOs; administrative expenses; limit. ","'Student' => 'Education', 'Arizona' => 'Location', 'United States' => 'Location', 'Award' => 'None', 'Legislature' => 'None'"
AZ-HB2030-Y2020,Safety,"ADOT; ports of entry; reporting. ","'Law enforcement' => 'Safety', 'Arizona' => 'Location', 'Law' => 'None', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2031-Y2019,None,"School marshals; requirements; training. ","'School' => 'Education', 'Arizona' => 'Location', 'Improve' => 'None', 'Legislature' => 'None', 'License' => 'None'"
AZ-HB2032-Y2019,Healthcare,"Civil forfeiture; criminal conviction. ","'Emergency service' => 'Healthcare', 'Manufacturing' => 'Jobs', 'Money' => 'Jobs', 'Profession' => 'Jobs', 'Training' => 'Jobs'"
AZ-HB2033-Y2019,Jobs,"Community school programs; prohibition. ","'Profession' => 'Jobs', 'Advertising' => 'Jobs', 'Transport' => 'Transportation', 'School district' => 'Education', 'School districts' => 'Education'"
AZ-HB2034-Y2020,Transportation,"School bus drivers; license requirements. ","'School bus' => 'Transportation', 'School' => 'Education', 'Arizona' => 'Location', 'Federal' => 'None', 'Legislature' => 'None'"
AZ-HB2035-Y2019,None,"Appropriation; veterans- services; benefits counselors. ","'Arizona' => 'Location', 'Appropriation' => 'None', 'Legislature' => 'None', 'State' => 'None'"
AZ-HB2036-Y2019,Healthcare,"Fentanyl; heroin; carfentanil; mandatory sentencing. ","'Fentanyl' => 'Healthcare', 'Transport' => 'Transportation', 'Arizona' => 'Location', 'Legislature' => 'None', 'Pi' => 'None'"
AZ-HB2037-Y2019,Safety,"DCS records; false statements; employees. ","'Child' => 'Safety', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2038-Y2019,None,"DCS; confidential parental information; waiver. ","'Arizona' => 'Location', 'Constitution' => 'None', 'Federal' => 'None', 'Legislature' => 'None', 'Person' => 'None'"
AZ-HB2039-Y2020,None,"Gaming; reimbursement; wagers; machines. ","'Arizona' => 'Location', 'Constitution' => 'None', 'Legislature' => 'None', 'Payment' => 'None', 'Requirement' => 'None'"
AZ-HB2040-Y2019,None,"Abandoned vehicle fees. ","'Arizona' => 'Location', 'Fee' => 'None', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2041-Y2019,None,"Juvenile arrest warrants; permissible hours. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2042-Y2019,None,"Urbanized areas; incorporation. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2043-Y2019,None,"Voter identification; school ID cards. ","'Arizona' => 'Location', 'Constitution' => 'None', 'Legislature' => 'None', 'Requirement' => 'None', 'Section' => 'None'"
AZ-HB2044-Y2019,None,"Meat; poultry; sale; misrepresentation. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Meat' => 'None', 'Pi' => 'None', 'Section' => 'None'"
AZ-HB2045-Y2019,None,"Correctional health services; prohibited contracts. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Pet' => 'None', 'Repeal' => 'None', 'State' => 'None'"
AZ-HB2046-Y2019,None,"TANF; sanctions. ","'Arizona' => 'Location', 'United States' => 'Location', 'Indian reservation' => 'Racial', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2047-Y2019,None,"Railroad crew requirements. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2048-Y2019,None,"Executive session; school safety plans. ","'Arizona' => 'Location', 'Indian reservation' => 'Racial', 'Legislature' => 'None', 'Officer' => 'None', 'Section' => 'None'"
AZ-HB2052-Y2020,Healthcare,"AHCCCS; chiropractic care; report. ","'Ambulance' => 'Healthcare', 'Chiropractic' => 'Healthcare', 'Ear' => 'Healthcare', 'Emergency service' => 'Healthcare', 'Hospice' => 'Healthcare'"
AZ-HB2053-Y2019,None,"Executive sessions; security plans. ","'Arizona' => 'Location', 'Indian reservation' => 'Racial', 'Legislature' => 'None', 'Officer' => 'None', 'Section' => 'None'"
AZ-HB2054-Y2020,None,"GRRC: petition to request review. ","'Arizona' => 'Location', 'United States' => 'Location', 'Constitution' => 'None', 'Legislature' => 'None', 'Pet' => 'None'"
AZ-HB2055-Y2020,None,"Penalties; civil traffic violation. ","'Arizona' => 'Location', 'United States' => 'Location', 'Community' => 'None', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2056-Y2020,None,"Appropriation; Tonto Basin bridge. ","'Arizona' => 'Location', 'Appropriation' => 'None', 'Legislature' => 'None', 'State' => 'None'"
AZ-HB2057-Y2019,None,"Consular identification cards; allowed use. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2058-Y2020,None,"Delinquent property tax; interest; waiver. ","'Arizona' => 'Location', 'Interest' => 'None', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2059-Y2019,Safety,"Homeowners- associations; billing statements; waiver. ","'Home' => 'Safety', 'Arizona' => 'Location', 'Fee' => 'None', 'Legislature' => 'None', 'Lien' => 'None'"
AZ-HB2060-Y2020,Transportation,"Prohibitions; autonomous vehicles; safety features. ","'Motor vehicle' => 'Transportation', 'Arizona' => 'Location', 'Legislature' => 'None', 'Person' => 'None', 'Prohibition' => 'None'"
AZ-HB2061-Y2019,None,"Project labor agreements. ","'Arizona' => 'Location', 'Agency' => 'None', 'Fish' => 'None', 'Legislature' => 'None', 'Public policy' => 'None'"
AZ-HB2062-Y2020,Safety,"Animal fighting paraphernalia; offense. ","'Animal' => 'Safety', 'Arizona' => 'Location', 'Legislature' => 'None', 'Ownership' => 'None', 'Section' => 'None'"
AZ-HB2063-Y2020,Jobs,"Education and community enrichment plates. ","'Engineering' => 'Jobs', 'Highway' => 'Transportation', 'State highway' => 'Transportation', 'Education' => 'Education', 'Arizona' => 'Location'"
AZ-HB2064-Y2020,Jobs,"Rodeo special plates. ","'Engineering' => 'Jobs', 'Highway' => 'Transportation', 'State highway' => 'Transportation', 'Arizona' => 'Location', 'United States' => 'Location'"
AZ-HB2065-Y2020,None,"Recorder; recording fees; lien fees. ","'Arizona' => 'Location', 'Fee' => 'None', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2066-Y2019,None,"TANF; lifetime limit; sanctions. ","'Arizona' => 'Location', 'Indian reservation' => 'Racial', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2067-Y2019,Jobs,"Sex education; comprehensive; medically accurate. ","'Teacher' => 'Jobs', 'Parent' => 'Safety', 'Arizona' => 'Location', 'United States' => 'Location', 'Legislature' => 'None'"
AZ-HB2069-Y2019,Safety,"Corrections oversight committee; ombudsman; duties. ","'Corrections' => 'Safety', 'Arizona' => 'Location', 'Committee' => 'None', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2070-Y2019,None,"Prearrest diversion programs; civil citation. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2071-Y2019,Healthcare,"Lyme disease treatment. ","'Disease' => 'Healthcare', 'Lyme disease' => 'Healthcare', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2072-Y2020,Healthcare,"Mental health professional academy; appropriation. ","'Mental health professional' => 'Healthcare', 'Mental health' => 'Healthcare', 'Student' => 'Education', 'Arizona' => 'Location', 'Appropriation' => 'None'"
AZ-HB2073-Y2020,None,"Appropriation; Arizona trail fund. ","'Arizona' => 'Location', 'Appropriation' => 'None', 'Legislature' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2074-Y2019,Healthcare,"Death certificates; gender. ","'Death certificate' => 'Healthcare', 'Death' => 'Safety', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2075-Y2019,None,"Gender; driver licenses; nonoperating identification. ","'Arizona' => 'Location', 'Gender' => 'None', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2076-Y2019,None,"Appropriation; DWR; additional staff. ","'Arizona' => 'Location', 'Appropriation' => 'None', 'Legislature' => 'None', 'State' => 'None'"
AZ-HB2077-Y2020,None,"Telephone solicitations calls; do-not-call list. ","'Arizona' => 'Location', 'Address' => 'None', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2078-Y2020,None,"School report cards; educational options. ","'Charter school' => 'Education', 'Public school' => 'Education', 'School' => 'Education', 'Arizona' => 'Location', 'Charter' => 'None'"
AZ-HB2080-Y2020,None,"State documents; sex identification. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2081-Y2020,Healthcare,"Birth certificates; gender. ","'Birth certificate' => 'Healthcare', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2082-Y2020,None,"School employees; students; gender pronouns. ","'School' => 'Education', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2083-Y2020,None,"Electronic smoking devices; restrictions; use. ","'Arizona' => 'Location', 'Constitution' => 'None', 'Legislature' => 'None', 'Requirement' => 'None', 'Section' => 'None'"
AZ-HB2084-Y2020,Jobs,"International boundary wall; building permits. ","'Intern' => 'Jobs', 'Arizona' => 'Location', 'Building' => 'None', 'Legislature' => 'None', 'Permit' => 'None'"
AZ-HB2085-Y2020,None,"Writs of garnishment; attorney fees. ","'Arizona' => 'Location', 'United States' => 'Location', 'Legislature' => 'None', 'Report' => 'None', 'Section' => 'None'"
AZ-HB2086-Y2020,None,"Tuition waiver; military; veterans; family. ","'Arizona' => 'Location', 'United States' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2087-Y2020,None,"Digital evidence; fees; funds. ","'Arizona' => 'Location', 'Addition' => 'None', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2091-Y2020,Healthcare,"Indoor tanning; minors; restricted use. ","'Cancer' => 'Healthcare', 'Advertising' => 'Jobs', 'Arizona' => 'Location', 'United States' => 'Location', 'Skin' => 'Racial'"
AZ-HB2092-Y2020,None,"Federal government; land acquisition; consent. ","'Kentucky' => 'Location', 'Texas' => 'Location', 'Vermont' => 'Location', 'Arizona' => 'Location', 'Hawaii' => 'Location'"
AZ-HB2093-Y2020,Safety,"2nd amendment; unenforceable federal laws. ","'Firearm' => 'Safety', 'Arizona' => 'Location', 'United States' => 'Location', 'Constitution' => 'None', 'Legislature' => 'None'"
AZ-HB2094-Y2020,Jobs,"Teachers academy; counselors; social workers. ","'Teacher' => 'Jobs', 'Arizona' => 'Location', 'Indian reservation' => 'Racial', 'Data' => 'None', 'Individual' => 'None'"
AZ-HB2095-Y2020,None,"Prohibited declaration; sanctuary jurisdiction. ","'Arizona' => 'Location', 'Law' => 'None', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2096-Y2020,Safety,"Security guard registration; discharged veterans. ","'Security' => 'Safety', 'Domestic violence' => 'Safety', 'Arizona' => 'Location', 'United States' => 'Location', 'Legislature' => 'None'"
AZ-HB2097-Y2020,Safety,"Schools; child abuse hotline. ","'Child' => 'Safety', 'Child abuse' => 'Safety', 'School' => 'Education', 'Arizona' => 'Location', 'Legislature' => 'None'"
AZ-HB2098-Y2020,None,"Dam safety study committee. ","'Arizona' => 'Location', 'Committee' => 'None', 'Legislature' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2099-Y2020,None,"Property tax; mobile homes; delinquency. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Property tax' => 'None', 'Property' => 'None', 'Section' => 'None'"
AZ-HB2100-Y2020,None,"Trade names; trademarks; registration; application. ","'Arizona' => 'Location', 'United States' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'Sign' => 'None'"
AZ-HB2101-Y2020,None,"Appropriation; Arizona water protection fund. ","'Arizona' => 'Location', 'Appropriation' => 'None', 'Legislature' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2102-Y2020,None,"Appropriation; unreimbursed wildland suppression activities. ","'Arizona' => 'Location', 'Appropriation' => 'None', 'Legislature' => 'None', 'State' => 'None'"
AZ-HB2103-Y2020,None,"Defamation action; internet publications; accrual. ","'Arizona' => 'Location', 'Defamation' => 'None', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2104-Y2020,Healthcare,"Child care assistance; education; training. ","'Child care' => 'Healthcare', 'Child' => 'Safety', 'Arizona' => 'Location', 'Legislature' => 'None', 'Priority' => 'None'"
AZ-HB2105-Y2020,None,"Schools; child care; reduced fees. ","'Public school' => 'Education', 'School' => 'Education', 'Arizona' => 'Location', 'Legislature' => 'None', 'Public' => 'None'"
AZ-HB2106-Y2020,None,"Schools; audits; financial records; budgets. ","'School district' => 'Education', 'School districts' => 'Education', 'School' => 'Education', 'Arizona' => 'Location', 'United States' => 'Location'"
AZ-HB2107-Y2020,None,"School districts; minor boundary changes. ","'School district' => 'Education', 'School districts' => 'Education', 'School' => 'Education', 'Arizona' => 'Location', 'Indian reservation' => 'Racial'"
AZ-HB2108-Y2020,None,"College course credit; dual enrollment. ","'Community college' => 'Education', 'College' => 'Education', 'High school' => 'Education', 'Student' => 'Education', 'University' => 'Education'"
AZ-HB2109-Y2020,None,"Unification; consolidation; notice; ballot language. ","'Arizona' => 'Location', 'United States' => 'Location', 'Law' => 'None', 'Legislature' => 'None', 'Revenue' => 'None'"
AZ-HB2110-Y2020,Jobs,"Schools; employees; employment; discipline. ","'Income tax' => 'Jobs', 'Income' => 'Jobs', 'Child' => 'Safety', 'Assault' => 'Safety', 'Child abuse' => 'Safety'"
AZ-HB2111-Y2020,None,"Schools; resources; services; consolidation grants. ","'School' => 'Education', 'Arizona' => 'Location', 'Appropriation' => 'None', 'Legislature' => 'None', 'Resource' => 'None'"
AZ-HB2112-Y2020,None,"Schools; safety; executive session. ","'School' => 'Education', 'Arizona' => 'Location', 'Indian reservation' => 'Racial', 'Legislature' => 'None', 'Officer' => 'None'"
AZ-HB2113-Y2020,None,"ASRS; employer; member; contributions. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2114-Y2020,Safety,"Law enforcement officers; database; rules. ","'Law enforcement officer' => 'Safety', 'Law enforcement' => 'Safety', 'Arizona' => 'Location', 'LAW' => 'None', 'Law' => 'None'"
AZ-HB2115-Y2020,Healthcare,"JLAC; auditor general. ","'Suicide' => 'Healthcare', 'Training' => 'Jobs', 'School' => 'Education', 'Arizona' => 'Location', 'Audit' => 'None'"
AZ-HB2116-Y2020,Safety,"Bereavement leave; death of child. ","'Child' => 'Safety', 'Arizona' => 'Location', 'Law' => 'None', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2117-Y2020,Healthcare,"Pharmacy board; rulemaking authority. ","'Drug' => 'Healthcare', 'Epidemiology' => 'Healthcare', 'Hospital' => 'Healthcare', 'Narcotic' => 'Healthcare', 'Nutrition' => 'Healthcare'"
AZ-HB2118-Y2020,Jobs,"Taxpayers- information fund; insufficient funds. ","'Training' => 'Jobs', 'Arizona' => 'Location', 'Legislature' => 'None', 'Purchasing' => 'None', 'Section' => 'None'"
AZ-HB2119-Y2020,None,"Schools; academic credits; transfer. ","'Community college' => 'Education', 'Graduation' => 'Education', 'High school' => 'Education', 'School' => 'Education', 'University' => 'Education'"
AZ-HB2120-Y2020,None,"Schools; graduation ceremonies; cultural regalia. ","'School' => 'Education', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2121-Y2020,None,"Election pamphlet submittals; identification required. ","'School' => 'Education', 'Student' => 'Education', 'Arizona' => 'Location', 'Ballot' => 'None', 'District' => 'None'"
AZ-HB2123-Y2020,None,"Appropriation; heritage fund. ","'Arizona' => 'Location', 'Appropriation' => 'None', 'Legislature' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2124-Y2020,None,"Online content; publishers; liability. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Plat' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2125-Y2020,None,"Districts; initiatives; litigation; prohibition. ","'School district' => 'Education', 'School districts' => 'Education', 'School' => 'Education', 'Arizona' => 'Location', 'District' => 'None'"
AZ-HB2126-Y2020,Safety,"Mobile homes; property tax; collection. ","'Mobile home' => 'Safety', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2127-Y2020,None,"Municipal public libraries; annual report. ","'Arizona' => 'Location', 'Annual report' => 'None', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2128-Y2020,None,"School districts; universities; recesses; coordination. ","'School district' => 'Education', 'School districts' => 'Education', 'School' => 'Education', 'Mexico' => 'Location', 'Arizona' => 'Location'"
AZ-HB2129-Y2020,None,"Unmanned aircraft; prescribed burns; arson. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Person' => 'None', 'Public' => 'None', 'Section' => 'None'"
AZ-HB2130-Y2020,None,"G&F; trail cameras; use; limits. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2131-Y2020,None,"G&F; unlawful activities; penalty. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2132-Y2020,Healthcare,"Chiropractic assistants; scope of practice. ","'Chiropractic' => 'Healthcare', 'Arizona' => 'Location', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2133-Y2020,Healthcare,"Dental board; licenses; certificates; renewals. ","'Dental hygienist' => 'Healthcare', 'Dental therapist' => 'Healthcare', 'Arizona' => 'Location', 'United States' => 'Location', 'Legislature' => 'None'"
AZ-HB2134-Y2020,Jobs,"Dentists; scope of practice. ","'Profession' => 'Jobs', 'Advertising' => 'Jobs', 'Arizona' => 'Location', 'United States' => 'Location', 'Legislature' => 'None'"
AZ-HB2135-Y2020,None,"Veteran suicides; annual report. ","'Arizona' => 'Location', 'United States' => 'Location', 'Data' => 'None', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2136-Y2020,Safety,"Firearm manufacturers; civil liability. ","'Firearm' => 'Safety', 'Arizona' => 'Location', 'United States' => 'Location', 'Law' => 'None', 'Lawsuit' => 'None'"
AZ-HB2137-Y2020,None,"Polling places; law enforcement officers. ","'Arizona' => 'Location', 'Law' => 'None', 'Legislature' => 'None', 'Section' => 'None', 'State' => 'None'"
AZ-HB2138-Y2020,None,"Common law marriage confirmation; caregivers. ","'Arizona' => 'Location', 'Common law' => 'None', 'Law' => 'None', 'Legislature' => 'None', 'Marriage' => 'None'"
